Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

12:06:55          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
12:06:56          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56          sdc    386.00      0.00 394172.00   1021.17     19.79     51.76      2.58     99.40
12:06:56          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56          sde    387.00      0.00 392636.00   1014.56     19.73     51.50      2.57     99.40
12:06:56          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56       mpatha    772.00      0.00 786808.00   1019.18     39.66     51.89      1.30    100.70
12:06:56      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56      mpatha2    131.00      0.00 264128.00   2016.24      8.41     64.21      7.67    100.50
12:06:56      mpatha3    123.00      0.00 251100.00   2041.46      7.95     64.61      8.02     98.60
12:06:56      mpatha4    122.00      0.00 248032.00   2033.05      7.63     62.57      8.08     98.60
12:06:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57          sdc    370.00      0.00 378356.00   1022.58     13.65     37.39      2.64     97.50
12:06:57          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57          sde    371.00      0.00 378492.00   1020.19     13.71     37.47      2.60     96.40
12:06:57          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57       mpatha    740.00      0.00 756848.00   1022.77     27.52     37.69      1.35     99.70
12:06:57      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57      mpatha2    129.00      0.00 262780.00   2037.05      6.04     46.81      7.52     97.00
12:06:57      mpatha3    127.00      0.00 259572.00   2043.87      5.93     46.73      7.50     95.30
12:06:57      mpatha4    116.00      0.00 237568.00   2048.00      5.56     47.97      8.24     95.60
12:06:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58          sdc    383.00      0.00 392192.00   1024.00     14.79     39.11      2.60     99.40
12:06:58          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58          sde    380.00      0.00 389120.00   1024.00     14.67     39.12      2.62     99.70
12:06:58          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58       mpatha    763.00      0.00 781312.00   1024.00     29.65     39.36      1.31    100.20
12:06:58      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58      mpatha2    134.00      0.00 274432.00   2048.00      6.54     48.79      7.41     99.30
12:06:58      mpatha3    134.00      0.00 274308.00   2047.07      6.66     49.67      7.41     99.30
12:06:58      mpatha4    118.00      0.00 241664.00   2048.00      5.63     47.71      8.42     99.30
12:06:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59          sdc    367.00      0.00 374644.00   1020.83     14.40     39.73      2.58     94.80
12:06:59          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59          sde    368.00      0.00 376832.00   1024.00     14.44     39.75      2.62     96.40
12:06:59          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59       mpatha    735.00      0.00 751476.00   1022.42     29.03     39.99      1.36    100.00
12:06:59      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59      mpatha2    122.00      0.00 248880.00   2040.00      6.15     50.39      7.75     94.60
12:06:59      mpatha3    116.00      0.00 236544.00   2039.17      5.84     50.34      8.28     96.10
12:06:59      mpatha4    124.00      0.00 253888.00   2047.48      6.28     50.68      7.53     93.40
12:06:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:06:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:07:00         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
