Linux 4.18.0-240.el8.x86_64 (dl360g10c) 	03/05/21 	_x86_64_	(24 CPU)

08:33:52          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
08:33:53          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53          sdc    382.00      0.00 391168.00   1024.00     25.08     66.15      2.57     98.20
08:33:53          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53          sde    384.00      0.00 391720.00   1020.10     25.25     66.27      2.56     98.30
08:33:53          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53       mpatha    766.00      0.00 782888.00   1022.05     50.52     66.44      1.31    100.00
08:33:53      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53      mpatha2    133.00      0.00 269124.00   2023.49      9.98     75.03      7.39     98.30
08:33:53      mpatha3    126.00      0.00 256356.00   2034.57      9.68     76.79      7.80     98.30
08:33:53      mpatha4    127.00      0.00 259460.00   2042.99      9.53     75.06      7.66     97.30
08:33:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54          sdc    386.00      0.00 392196.00   1016.05     24.84     64.83      2.58     99.60
08:33:54          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54          sde    383.00     16.00 391168.00   1021.37     24.74     65.10      2.60     99.50
08:33:54          sdf      1.00      0.00      0.00      0.00      0.00      1.00      2.00      0.20
08:33:54       mpatha    768.00     16.00 783364.00   1020.03     49.68     65.18      1.30     99.60
08:33:54      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54      mpatha2    138.00     16.00 278532.00   2018.46      9.82     71.20      6.96     96.10
08:33:54      mpatha3    135.00      0.00 276480.00   2048.00      9.35     69.22      7.36     99.40
08:33:54      mpatha4    137.00      0.00 280576.00   2048.00      9.67     70.55      7.26     99.50
08:33:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55          sdc    397.00      0.00 406528.00   1024.00     27.76     70.44      2.54    101.00
08:33:55          sdd      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55          sde    398.00      0.00 405552.00   1018.97     29.15     73.75      2.54    100.90
08:33:55          sdf      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55       mpatha    795.00      0.00 812080.00   1021.48     57.07     72.28      1.27    101.00
08:33:55      mpatha1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55      mpatha2    129.00      0.00 264192.00   2048.00     12.68     98.28      8.05    103.90
08:33:55      mpatha3    128.00      0.00 261152.00   2040.25      9.85     76.94      7.88    100.90
08:33:55      mpatha4    127.00      0.00 258064.00   2032.00      9.93     78.17      7.88    100.10
08:33:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56         sda2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56         sda3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56         sda4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56         sda5      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56          sdb      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:33:56          sr0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
